"","county","ideal","intend","ideal2","intend2","npop"
"1666",450222,2.05865646858506,1.93914164794508,0.970345638494893,0.867600650973517,94896
"1667",450223,2.06882953161455,1.93531354260054,0.966509451913007,0.832444198507992,106968
"1668",450224,2.4470594180763,2.2677085215358,0.975823020740455,0.931239462695653,73888
"1669",450225,2.1397567371694,2.11203013936575,0.966715859959664,0.897171470272312,101615
"1670",450226,2.32153553451524,2.14417313044954,0.982024928862272,0.895918373507341,72723
"1671",450303,1.97088211001723,1.64870815448749,0.910235626126446,0.589739865852031,49498
"1672",450304,1.9019687616963,1.61747980710423,0.903975384345293,0.605797907096473,83909
"1673",450305,1.81746660385174,1.49788806655167,0.858330298197545,0.5393457192128,96466
"1674",450321,2.04594798819331,1.8644939241131,0.956946024159769,0.811695872953001,72261
"1675",450322,2.16821475031861,2.05512633537089,0.970375694522136,0.871900691067109,121919
"1676",450323,1.96439781424183,1.73572041324573,0.947913865686021,0.731366890411315,91648
"1677",450324,2.10275427697823,2.100206149804,0.974087634428709,0.882143728979687,151040
"1678",450325,2.07160361609463,1.84985057352953,0.969206766163915,0.798827358161822,86703
"1679",450326,2.01227314908785,1.99387744417019,0.949518666504506,0.870028272275504,59188
"1680",450327,2.12596711337383,2.08773969911233,0.967948773537829,0.876590782013544,56655
"1681",450328,2.0769535738218,1.90788972597224,0.967749127816282,0.822560516794572,40132
"1682",450330,2.43104092272801,2.22532346088966,0.964646899410557,0.892696567991929,95979
"1683",450332,2.00469104595253,1.98352416685287,0.955278986548646,0.803989393215328,61503
"1684",450403,2.02413897029294,1.87143586164527,0.926012133607583,0.752326040664488,37411
"1685",450421,2.85346995085681,2.70184230984723,0.986501501094899,0.961877420205026,142630
"1686",450422,2.90610980407821,2.91851578036014,0.989044302005217,0.963479828595812,211684
"1687",450423,2.27700463039341,2.28934314329414,0.979759484882389,0.925970628933945,50405
"1688",450481,2.77826617065542,2.75253771619098,0.986426920830054,0.952250950421894,202341
"1689",450502,2.09486726042352,1.97554013448653,0.9212531619122,0.764153000471447,109562
"1690",450503,2.68063804696976,2.46837877954727,0.971699256125036,0.938026025023573,50694
"1691",450512,2.58662849999507,2.26981038051381,0.982631548688156,0.957413734899545,38065
"1692",450521,2.53747604468261,2.41853037907979,0.979607787425603,0.948354240697853,225475
"1693",450602,2.13752500464288,1.95920193175016,0.961540176630693,0.873455919719775,42339
"1694",450603,2.2815295541916,2.12432444609762,0.98445627401483,0.914679392818048,89490
"1695",450681,2.31139280878943,2.32611404742249,0.970729269643218,0.914927892691622,39647
"1696",450702,2.43358403325935,2.31828490747581,0.967506327090618,0.896063405971939,159383
"1697",450703,2.7406876609674,2.89094890752178,0.988767597885777,0.960395653157487,123720
"1698",450721,3.05434235260893,3.13457981655103,0.988663613003163,0.971606914610406,258881
"1699",450722,2.60248153029658,2.5503840157612,0.971866329729584,0.946111290648839,176696
"1700",450802,2.58992289439839,2.71635748392369,0.975148122169208,0.912484415081101,161705
"1701",450803,2.69133618577724,2.52244855570653,0.983147356727061,0.958642790533732,126232
"1702",450804,2.28740447648731,2.37614180274664,0.987922485250639,0.97411598739868,97118
"1703",450821,2.55552697094974,2.7249368126474,0.983307706622667,0.973214794517439,271088
"1704",450902,2.29096397796842,2.22375040265192,0.965017665317194,0.906466335617399,298397
"1705",450921,2.4943079249634,2.26242681603065,0.987908835637979,0.901140085852557,156162
"1706",450922,2.89206335943856,3.02495829171178,0.989830774306364,0.973781206189023,186410
"1707",450923,2.93005637276514,2.96827196250387,0.987805063475472,0.959611410007514,330143
"1708",450924,2.49491219123888,2.5712394843198,0.986465196907676,0.963934047411056,129855
"1709",450981,2.81118914401315,2.77170893374166,0.986989273842843,0.967052452324295,286759
"1710",451002,1.94013687602463,1.67199720254893,0.931973981749288,0.658576191723173,113854
"1711",451021,2.17069720567182,1.84004899125916,0.966199104693665,0.794726455140695,84525
"1712",451022,2.14308965823997,2.15035189444683,0.973395399042099,0.892951543862068,94035
"1713",451023,2.25299651982138,2.05407125317143,0.967786821720221,0.855645350393508,119333
"1714",451024,2.13492025855893,1.99456778040315,0.972817789889272,0.835724858086508,71009
"1715",451025,2.19846468130112,2.12927764085762,0.980134063083317,0.88907139694072,116790
"1716",451027,2.44714691302317,2.12280115543292,0.978823344112578,0.875925582350421,48281
"1717",451029,2.1367040291149,2.04257573648624,0.979897364644578,0.874835403558312,58999
"1718",451030,2.2571660333752,1.95378087935115,0.982175830789346,0.850440592869493,37669
"1719",451031,2.0264803012064,2.00890655873925,0.967940532447386,0.871664874515276,89717
"1720",451102,2.33875212443316,2.31735930185239,0.979084401493508,0.919486322988348,165815
"1721",451121,2.7703520183549,2.63414951586331,0.987687694637521,0.973074533067016,86414
"1722",451122,2.31550973024185,2.33686748245645,0.982322408944172,0.947960567507457,90548
"1723",451123,2.32655892573088,2.24916604706681,0.984040437302758,0.942365713776709,67573
"1724",451202,2.11014214023212,1.98107762836272,0.960259751648215,0.85979526677755,96377
"1725",451221,2.13325728264594,2.05758495140811,0.970565663414456,0.894944482144344,73725
"1726",451222,2.24951450704299,2.16096014095887,0.976025863496101,0.919188003601007,39678
"1727",451224,2.20765767280128,2.15446217478574,0.963121557998443,0.898724446905198,45976
"1728",451225,1.95466564006666,1.94569888797675,0.956970991951653,0.873375372058981,77972
"1729",451226,2.26764033782193,2.16131466160214,0.982760786977035,0.925259848704354,66652
"1730",451227,2.31824269375334,2.3760039733916,0.971403274579746,0.95438932775245,56094
"1731",451228,2.51855373272029,2.43651223143877,0.980929996466252,0.946991376075464,122493
"1732",451229,2.25054508966812,2.02543986802725,0.965591112388166,0.879857852031595,92666
"1733",451281,2.17121726187258,2.0746615992764,0.971469086647984,0.887033010429662,145444
"1734",451302,2.36547356174998,2.34616949905645,0.972047886640135,0.931846333166575,251330
"1735",451321,2.19175392206182,2.16918863217647,0.984504707420417,0.925750484771557,79488
"1736",451322,2.07530440600096,2.29993030217192,0.982825767804455,0.945198110211392,72249
"1737",451323,2.1974172320608,2.3115742600967,0.985947266292996,0.953504548994792,89775
"1738",451324,2.11678224435959,2.14527412014744,0.979499971186662,0.927819368173911,30892
"1739",451381,2.09025651349828,2.09589854169166,0.976869826781618,0.929895371295876,29815
"1740",451402,2.09689150554277,1.88736235393534,0.973441255623654,0.841695153038785,86181
